win,lose,probability
Cleveland Cavaliers,New York Knicks,0.88908883357568214
Golden State Warriors,San Antonio Spurs,0.6313672989135064
Portland Trail Blazers,Utah Jazz,0.66271961286909742
Boston Celtics,Brooklyn Nets,0.88633686284575908
Indiana Pacers,Dallas Mavericks,0.55921968047164916
Houston Rockets,Los Angeles Lakers,0.7134777310689282
Memphis Grizzlies,Minnesota Timberwolves,0.63190903672976029
Charlotte Hornets,Milwaukee Bucks,0.6639216959656552
New Orleans Pelicans,Denver Nuggets,0.61267571303799373
Miami Heat,Orlando Magic,0.67303995259325644
Oklahoma City Thunder,Philadelphia 76ers,0.9249846069646116
Sacramento Kings,Phoenix Suns,0.53570849109508822
Toronto Raptors,Detroit Pistons,0.74873541146949041
Atlanta Hawks,Washington Wizards,0.63150329868980248
Boston Celtics,Chicago Bulls,0.51714947353279117
Portland Trail Blazers,Los Angeles Clippers,0.56306267929500575
San Antonio Spurs,Sacramento Kings,0.79437504243807955
Indiana Pacers,Brooklyn Nets,0.75742199592688164
Dallas Mavericks,Houston Rockets,0.55772911565928129
Detroit Pistons,Orlando Magic,0.65369211828856422
Miami Heat,Charlotte Hornets,0.60387488631298514
Golden State Warriors,New Orleans Pelicans,0.87640399278487169
Oklahoma City Thunder,Phoenix Suns,0.90780788549595881
Cleveland Cavaliers,Toronto Raptors,0.63715657226364231
Utah Jazz,Los Angeles Lakers,0.77974142913729183
Chicago Bulls,Indiana Pacers,0.53960185714426412
Charlotte Hornets,Boston Celtics,0.56504999772999276
Cleveland Cavaliers,Orlando Magic,0.88348631588964555
Portland Trail Blazers,Denver Nuggets,0.7691666711792714
Milwaukee Bucks,Brooklyn Nets,0.75041916415576948
New York Knicks,Memphis Grizzlies,0.5343271600824947
Atlanta Hawks,Philadelphia 76ers,0.84421846022100921
Sacramento Kings,Minnesota Timberwolves,0.6389201514790871
San Antonio Spurs,New Orleans Pelicans,0.89170162622110505
Detroit Pistons,Milwaukee Bucks,0.74777587947957636
Houston Rockets,Dallas Mavericks,0.52983256142598012
Los Angeles Clippers,Utah Jazz,0.63842771793608988
Washington Wizards,Memphis Grizzlies,0.55951306230837194
San Antonio Spurs,Miami Heat,0.60276838089560614
Oklahoma City Thunder,Los Angeles Lakers,0.90939853003244864
Golden State Warriors,Phoenix Suns,0.89976266486128764
Atlanta Hawks,Sacramento Kings,0.74355992405653415
Chicago Bulls,Brooklyn Nets,0.79453514522902169
Los Angeles Clippers,Phoenix Suns,0.84532292379387075
Toronto Raptors,Denver Nuggets,0.86495281659842849
Cleveland Cavaliers,Houston Rockets,0.82560466004772814
Detroit Pistons,New York Knicks,0.66616905512727242
Indiana Pacers,Los Angeles Lakers,0.81358234418527886
Miami Heat,Sacramento Kings,0.77755079028377261
Minnesota Timberwolves,Memphis Grizzlies,0.58068285099900763
New Orleans Pelicans,Milwaukee Bucks,0.60211041063314574
Orlando Magic,Philadelphia 76ers,0.74960556960788038
Golden State Warriors,Portland Trail Blazers,0.67007237892749605
San Antonio Spurs,Utah Jazz,0.767734301730706
Atlanta Hawks,Los Angeles Lakers,0.82433220071680302
Boston Celtics,Chicago Bulls,0.56160956787042771
Detroit Pistons,Brooklyn Nets,0.7104311752600464
Charlotte Hornets,Philadelphia 76ers,0.9279207872929498
Oklahoma City Thunder,Los Angeles Clippers,0.57673370465156626
Memphis Grizzlies,New Orleans Pelicans,0.62990601411310121
Houston Rockets,New York Knicks,0.61280839598516623
Portland Trail Blazers,Phoenix Suns,0.82409609807443363
Utah Jazz,Dallas Mavericks,0.50717411614152597
Toronto Raptors,Washington Wizards,0.63878513846151019
Cleveland Cavaliers,Boston Celtics,0.78380793014635819
Golden State Warriors,Oklahoma City Thunder,0.6594989421443016
Indiana Pacers,Milwaukee Bucks,0.62044251462798872
Minnesota Timberwolves,Denver Nuggets,0.6672513862510715
Orlando Magic,Sacramento Kings,0.60090416694382687
Charlotte Hornets,Brooklyn Nets,0.79050802428529066
Chicago Bulls,New York Knicks,0.67367324226996217
Portland Trail Blazers,Dallas Mavericks,0.63837787450073313
Golden State Warriors,Los Angeles Lakers,0.91395078755420289
Los Angeles Clippers,Memphis Grizzlies,0.69055222397380189
New Orleans Pelicans,Phoenix Suns,0.63528872535115299
Toronto Raptors,Miami Heat,0.58903570687905649
San Antonio Spurs,Utah Jazz,0.70800779723469276
Washington Wizards,Atlanta Hawks,0.52329508360654176
Atlanta Hawks,Houston Rockets,0.61385931122534798
Detroit Pistons,Denver Nuggets,0.75604045095462613
Indiana Pacers,Chicago Bulls,0.53437764647976904
Milwaukee Bucks,Sacramento Kings,0.53717954610540575
Oklahoma City Thunder,Minnesota Timberwolves,0.88880643249762203
Washington Wizards,Orlando Magic,0.52912923849363702
Cleveland Cavaliers,Philadelphia 76ers,0.95350590568642646
San Antonio Spurs,Los Angeles Clippers,0.68432625194552443
Boston Celtics,Denver Nuggets,0.81273368295110004
Dallas Mavericks,Milwaukee Bucks,0.76033256477356082
Los Angeles Lakers,Phoenix Suns,0.53765982510580257
Portland Trail Blazers,Memphis Grizzlies,0.75298103186251952
Utah Jazz,New York Knicks,0.62848086340539466
Toronto Raptors,Sacramento Kings,0.81625547933683684
Chicago Bulls,Orlando Magic,0.66133419016788342
Charlotte Hornets,Indiana Pacers,0.61988210865339854
Golden State Warriors,New Orleans Pelicans,0.92068330224124872
Los Angeles Clippers,Detroit Pistons,0.69779240781281604
Oklahoma City Thunder,Miami Heat,0.66678680041918403
Utah Jazz,Philadelphia 76ers,0.83673846770797189
Washington Wizards,Houston Rockets,0.55369685120835876
Minnesota Timberwolves,Brooklyn Nets,0.56081211448088109
Cleveland Cavaliers,Atlanta Hawks,0.80727812797085829
Dallas Mavericks,Los Angeles Lakers,0.74371767102439934
Memphis Grizzlies,Denver Nuggets,0.65758858784747531
Portland Trail Blazers,Phoenix Suns,0.85878924569550319
Sacramento Kings,New Orleans Pelicans,0.63693336044875104
Atlanta Hawks,Chicago Bulls,0.55236954136978189
Charlotte Hornets,Utah Jazz,0.61346600828330788
Golden State Warriors,Dallas Mavericks,0.81038495759165219
Indiana Pacers,Philadelphia 76ers,0.91817053027452522
Portland Trail Blazers,Los Angeles Clippers,0.54119698267512661
New York Knicks,Brooklyn Nets,0.74908037044601583
Oklahoma City Thunder,Toronto Raptors,0.6078262244040038
Orlando Magic,Minnesota Timberwolves,0.65992329240765935
Detroit Pistons,Phoenix Suns,0.63236577107030523
San Antonio Spurs,Houston Rockets,0.77939329707724647
Boston Celtics,Washington Wizards,0.51279109853237903
Golden State Warriors,Denver Nuggets,0.86457882431872524
